ID	Kisi/Firma Adi	Maksimum kapasite	Vergi beyaný			
1001	Pelin	200.000	250.800			
1002	Melda	100.000	135.800			
1003	Sevgi	250.000	425.600			
1004	Alican	100.000	87.800			
1005	Ataberk	100.000	200.000			
1006	Ecesu	230.000	319.100			
1007	Rozalin	160.000	162.600			
1008	Cemre	200.000	223.500			
1009	Ceyda	290.000	373.500			
1010	Dilara	50.000	180.000			
1011	Rýza	450.000	354.600			
1012	Efil	350.700	355.700			
1013	Selim	90.000	143.000			
1014	Bekir	180.000	220.000			
1015	Salih	70.000	227.600			
1016	Gizem	85.000	122.200			
1017	Arda	450.000	278.700			
1018	Yýlmaz	80.000	99.800			
1019	Ömer	120.000	176.900			
1020	Aykan	300.000	400.000			
1021	Azra	360.000	267.900			
1022	Hande	60.000	110.200			
1023	Ýremsu	121.000	121.700			
1024	Emre	200.000	217.100			
1025	Enes	190.000	232.400			
1026	Cemre	200.000	300.000			
1027	Burak	150.000	164.500			
1028	Yonca	350.000	336.100			
1029	Kardelen	270.000	291.600			
1030	Ulaþ	180.000	159.000			
1031	A Firmasi	120.000	193.000			
1032	B Firmasi	190.000	250.500			
1033	C Firmasi	55.000	77.000			
1034	D Firmasi	300.000	275.000			
1035	E Firmasi	320.000	376.000			
1036	F Firmasi	300.000	300.000			
1037	G Firmasi	195.000	295.100			
1038	H Firmasi	168.000	158.400			
1039	I Firmasi	389.000	359.800			
1040	J Firmasi	200.500	249.800			
1041	K Firmasi	196.000	362.400			
1042	L Firmasi	80.000	200.000			
1043	M Firmasi	210.000	208.200			
1044	N Firmasi	300.000	296.500			
1045	O Firmasi	15.000	26.200			
1046	P Firmasi	169.000	188.400			
1047	R Firmasi	150.000	250.000			
1048	S Firmasi	70.000	94.900			
1049	T Firmasi	200.000	616.500			
1050	U Firmasi	120.000	138.200			
